"STATE","C1_HLTH_DEFS_CNT","C1_FS_DEFS_CNT","C2_HLTH_DEFS_CNT","C2_FS_DEFS_CNT","C3_HLTH_DEFS_CNT","C3_FS_DEFS_CNT","aidhrd","vochrd","rnhrd","totlichrd","tothrd","pthrd","FINE_CNT","FINE_TOT","QM401","QM402","QM403","QM404","QM405","QM406","QM407","QM408","QM409","QM410","QM411","QM415","QM419","QM424","QM425","QM426","QM430","QM434","FILEDATE"
"FL","5.6","2.4","6.1","2.1","6.5","1.8","2.81","0.95","0.75","1.70","4.51","0.13","0.4","11825","13.4","5.2","6.2","7.6","49.2","2.7","6.2","2.4","1.4","2.7","93.6","94.9","20.9","15.7","0.6","85.9","87.2","3.0","2015-01-01"
"GA","3.4","2.5","4.0","2.6","4.8","2.5","2.19","1.07","0.54","1.60","3.79","0.08","0.2","8736","16.4","7.9","6.7","8.1","44.9","2.2","6.0","8.1","1.0","3.4","94.4","95.4","20.5","18.0","1.1","84.1","83.6","2.9","2015-01-01"
"GU","12.0","6.0","12.0","9.0","20.0","0.0","3.81","2.22","4.19","6.41","10.22","0.32","0.0","0",,,,,,,,,"0.0","0.0",,"100.0",,"23.3","0.9","93.9","97.4","1.4","2015-01-01"
"HI","7.7","0.3","8.1","0.4","7.2","0.4","2.87","0.55","1.55","2.11","4.98","0.12","0.2","587","12.2","5.6","2.9","6.8","49.4","1.6","4.8","3.2","1.0","1.7","96.3","96.1","9.9","13.3","0.5","82.3","80.9","0.9","2015-01-01"
"IA","5.2","3.4","5.2","4.4","5.7","4.2","2.36","0.62","0.80","1.42","3.78","0.05","0.2","2238","16.0","8.1","4.5","6.4","39.0","4.0","6.9","6.4","0.6","3.6","96.4","96.8","19.2","18.7","1.2","89.0","87.9","1.8","2015-01-01"
"ID","11.7","2.3","10.7","2.9","10.7","2.8","2.90","0.82","1.14","1.96","4.86","0.19","0.6","2985","14.5","11.3","3.8","6.4","48.5","3.7","6.1","6.3","1.1","3.2","94.1","97.3","18.3","22.0","0.5","85.3","87.4","2.8","2015-01-01"
"IL","7.1","6.8","6.9","6.2","6.5","5.8","2.23","0.60","0.93","1.53","3.76","0.11","0.3","5038","15.2","6.1","6.5","7.7","37.4","3.5","5.5","14.5","1.1","3.3","94.2","93.5","23.7","16.5","1.1","81.1","80.1","2.6","2015-01-01"
"IN","7.5","4.1","8.0","3.9","8.5","3.6","2.27","0.99","0.92","1.92","4.19","0.10","0.3","3147","17.3","7.6","6.2","7.7","47.9","2.9","5.5","5.6","0.9","3.3","95.3","93.8","19.6","20.3","1.2","84.9","81.9","2.6","2015-01-01"
"KS","10.7","4.0","9.7","4.1","10.0","3.5","2.67","0.63","0.80","1.43","4.10","0.05","0.2","1692","16.7","10.4","5.3","7.3","38.5","2.9","7.3","7.7","0.4","4.6","95.3","94.1","22.1","23.2","1.4","82.2","77.4","3.2","2015-01-01"
"KY","5.4","2.0","5.3","3.7","6.4","3.8","2.49","0.95","0.90","1.86","4.34","0.09","0.5","39162","17.0","8.9","6.6","8.1","48.9","3.6","6.8","4.0","2.3","3.8","95.9","96.7","21.3","21.6","1.2","88.5","87.8","3.2","2015-01-01"
"LA","5.5","1.6","6.3","2.0","8.9","2.6","2.27","1.00","0.52","1.51","3.79","0.07","0.5","14755","19.0","7.2","8.5","7.6","36.5","2.8","6.3","2.4","2.2","3.3","94.9","94.2","25.5","18.3","1.5","82.5","82.8","3.7","2015-01-01"
"MA","3.8","1.2","3.6","0.7","3.6","0.9","2.39","0.81","0.92","1.74","4.12","0.10","0.5","6466","14.3","5.3","4.7","6.1","51.9","2.5","5.2","3.9","1.4","2.9","95.9","95.7","20.3","17.8","0.9","87.8","84.1","2.1","2015-01-01"
"MD","11.0","3.7","11.1","3.1","10.1","3.7","2.43","0.91","0.94","1.85","4.28","0.13","0.1","6281","18.3","5.0","6.8","5.9","55.4","2.4","5.0","4.7","0.9","2.6","94.6","94.1","15.9","14.9","0.8","83.8","82.4","2.2","2015-01-01"
"ME","3.8","1.0","4.6","1.0","4.5","1.3","3.05","0.44","1.10","1.54","4.59","0.13","0.1","672","13.2","10.3","4.5","8.5","61.3","3.5","6.0","10.2","0.3","3.6","96.0","95.2","18.6","22.8","1.0","86.8","85.8","1.7","2015-01-01"
"MI","7.9","4.9","9.4","4.6","9.6","4.7","2.58","0.77","0.91","1.69","4.26","0.12","1.0","14804","14.5","7.4","5.9","7.7","47.7","3.2","4.7","3.6","1.4","2.7","93.2","93.7","13.7","18.0","1.0","82.8","82.2","1.8","2015-01-01"
"MN","6.3","1.3","6.3","1.6","7.1","1.5","2.45","0.75","0.85","1.60","4.05","0.09","0.2","1088","14.7","9.6","3.9","6.8","47.6","3.2","4.5","5.5","0.6","3.9","95.6","95.2","15.0","23.3","1.0","84.6","83.9","1.7","2015-01-01"
"MO","6.2","2.5","6.4","2.8","6.9","3.2","2.55","0.76","0.60","1.36","3.91","0.07","0.2","1309","14.4","8.4","5.7","6.7","31.4","2.8","6.2","4.4","0.7","3.8","95.6","91.3","21.6","19.0","1.2","83.8","78.3","2.6","2015-01-01"
"MS","4.6","1.4","6.3","1.1","6.5","1.2","2.42","1.01","0.83","1.83","4.26","0.06","0.3","11939","17.3","10.6","7.6","7.8","45.4","2.3","6.3","1.7","3.1","2.7","96.1","96.7","23.5","20.8","1.0","87.1","88.2","3.3","2015-01-01"
"MT","8.6","4.3","8.3","4.6","6.6","4.5","2.61","0.46","1.06","1.52","4.14","0.10","0.1","228","15.6","12.0","5.3","7.3","43.0","4.2","6.8","7.5","0.9","4.9","96.4","93.7","16.7","24.8","1.4","85.9","81.2","2.2","2015-01-01"
"NC","3.7","3.3","3.4","3.0","3.6","3.2","2.43","0.88","0.77","1.65","4.08","0.10","0.4","16166","19.1","8.4","7.2","8.8","53.0","2.8","6.5","4.5","1.0","3.2","92.8","93.8","15.1","19.0","0.9","84.9","84.2","2.1","2015-01-01"
"ND","6.9","2.2","5.4","1.2","5.2","0.9","2.91","0.65","0.87","1.52","4.44","0.06","0.0","0","17.3","9.6","3.6","6.3","43.4","3.3","5.2","7.2","0.5","4.7","95.5","95.9","18.4","21.3","1.1","84.0","82.0","2.9","2015-01-01"
"NE","5.9","5.0","6.6","4.5","5.9","5.1","2.54","0.75","0.84","1.59","4.13","0.07","0.1","521","16.2","9.3","4.1","6.5","44.0","4.1","6.7","6.5","0.6","4.3","95.0","95.0","21.9","20.3","1.2","84.4","82.5","2.4","2015-01-01"
"NH","2.4","1.0","3.0","0.5","3.7","1.2","2.55","0.64","0.98","1.62","4.17","0.10","0.2","1153","18.7","8.7","3.8","7.5","42.0","3.8","5.1","5.3","0.6","3.9","95.8","98.4","18.7","18.9","0.8","90.1","91.6","1.9","2015-01-01"
"NJ","4.5","1.8","4.8","1.5","5.0","1.5","2.29","0.79","1.02","1.81","4.10","0.16","0.1","1852","14.0","3.7","7.6","7.6","35.8","2.6","4.7","4.3","1.8","2.4","96.0","95.2","14.5","12.2","1.0","87.5","86.7","1.7","2015-01-01"
"NM","5.9","3.5","3.4","3.5","5.3","3.0","2.36","0.54","0.90","1.44","3.80","0.13","0.7","3471","19.2","8.5","6.2","6.5","43.1","3.0","4.8","3.0","0.6","3.9","90.8","80.2","18.5","21.8","0.8","68.4","64.4","2.3","2015-01-01"
"NV","11.1","3.0","12.5","2.8","12.5","2.9","2.39","0.82","1.17","1.99","4.38","0.18","0.3","5344","17.3","10.5","7.8","6.0","48.8","4.3","6.3","3.7","0.7","2.8","89.5","88.1","19.7","21.6","0.7","81.3","80.6","2.5","2015-01-01"
"NY","5.1","2.7","5.5","2.5","5.8","2.5","2.37","0.85","0.74","1.59","3.96","0.11","0.1","1373","14.1","5.2","7.6","6.3","44.8","2.6","5.5","11.4","1.6","2.7","96.2","96.9","17.8","13.8","1.1","85.7","84.5","2.3","2015-01-01"
"OH","4.8","2.9","5.4","3.2","5.8","3.3","2.32","0.90","0.83","1.74","4.05","0.08","0.4","3702","15.1","7.8","5.8","7.7","39.7","3.1","5.4","13.3","1.2","3.4","95.3","95.6","21.7","20.9","0.9","86.3","86.4","2.4","2015-01-01"
"OK","11.5","3.5","12.3","3.8","11.3","4.1","2.53","0.85","0.49","1.35","3.87","0.04","0.7","11610","14.1","12.8","7.4","8.6","31.9","3.8","7.5","7.1","0.6","5.1","95.4","88.8","21.2","26.2","1.5","84.7","76.4","2.4","2015-01-01"
"OR","6.0","5.2","6.2","6.1","5.8","9.6","3.17","0.63","1.00","1.64","4.80","0.16","0.9","1723","12.8","12.7","6.0","7.8","48.1","4.9","6.2","4.7","0.6","2.8","94.0","93.1","17.4","24.6","1.0","83.6","81.5","1.7","2015-01-01"
"PA","5.8","4.1","5.1","3.7","4.6","3.8","2.26","0.85","0.95","1.81","4.06","0.12","0.1","1826","15.8","7.5","5.4","7.1","56.3","3.4","4.8","3.7","0.9","3.1","94.2","94.3","18.1","18.6","1.0","84.5","83.9","2.3","2015-01-01"
"PR","20.5","3.0","7.3","3.5","13.0","3.0","0.00","2.28","2.36","4.64","4.64","0.25","0.5","11326",,,,,,,,"0.0","0.0","0.0","98.9","100.0","0.0","42.2","1.0","94.2","93.9","0.5","2015-01-01"
"RI","1.7","0.1","2.4","0.2","2.8","0.2","2.58","0.30","0.96","1.26","3.84","0.06","0.1","2292","14.3","6.5","4.5","6.7","41.3","2.1","6.3","5.3","0.2","3.7","94.9","95.3","16.8","19.4","1.3","85.4","83.3","1.7","2015-01-01"
"SC","6.0","1.1","5.1","0.9","6.2","0.9","2.53","0.98","0.87","1.86","4.38","0.11","0.5","23180","14.9","6.3","6.2","8.8","51.8","1.9","7.5","2.4","2.2","2.9","94.6","96.1","15.4","15.2","0.8","86.8","87.3","2.6","2015-01-01"
"SD","6.0","0.9","6.6","1.0","4.3","0.8","2.46","0.35","0.85","1.19","3.66","0.06","0.0","0","16.6","9.1","5.5","6.9","44.3","3.8","5.2","6.8","0.5","5.3","96.9","97.1","18.1","18.4","1.1","86.1","82.7","2.6","2015-01-01"
"TN","5.9","2.8","6.6","3.0","6.8","3.0","2.26","1.03","0.70","1.73","3.99","0.11","0.2","20312","16.4","5.9","5.5","8.1","49.3","3.2","7.5","3.2","2.5","3.6","95.0","93.2","23.1","16.4","0.8","85.1","82.5","2.9","2015-01-01"
