"state","C1_HLTH_DEFS_CNT","C1_FS_DEFS_CNT","C2_HLTH_DEFS_CNT","C2_FS_DEFS_CNT","C3_HLTH_DEFS_CNT","C3_FS_DEFS_CNT","restot","aidhrd","vochrd","rnhrd","totlichrd","tothrd","pthrd","CM_RN","CM_TOTAL","fine_cnt","fine_tot","QM401","QM404","QM405","QM406","QM407","QM408","QM409","QM410","QM415","QM419","QM430","QM434","QM451","QM452","QM453","QM454","QM471","QM472","QM476","QM521","QM522","QM551","QM552","FILEDATE"
"FL","6.2","2.5","6.5","2.2","6.1","2.0","105.9","2.69","0.85","0.77","1.62","4.31","0.10","0.36402","3.20901","0.5","16927","12.636615","5.169163","54.470104","1.489156","2.374422","1.199453","0.111087","2.678070","97.696204","12.915462","93.117301","2.034384","16.167732","22.657711","8.022686","96.943567","71.131171","90.121170","1.107622","22.705511","8.263244","1.925313","0.678857","2020-07-01"
"GA","4.0","2.7","3.7","3.1","3.7","3.7","92.7","2.08","1.10","0.42","1.51","3.59","0.06","0.35986","3.19287","0.3","16623","16.251936","6.200416","46.672485","1.808475","3.397803","4.547438","0.156826","3.066370","93.397541","17.915000","82.211387","2.864025","18.407180","21.931416","9.512633","95.937058","64.621964","81.915192","1.552502","19.275277","10.686560","1.789729","1.081455","2020-07-01"
"GU","13.0","4.0","11.0","4.0","19.0","3.0","21.6","3.52","1.71","2.86","4.58","8.09","0.22","0.50271","3.13425","0.0","0","0.000000","13.333332",,"10.199994","0.000000","0.000000","0.000000","0.000000","97.297298","8.108108","97.630334","2.499998",,"0.000000","66.666667","61.538462","34.284209","84.615385","0.000000",,,,,"2020-07-01"
"HI","8.1","0.5","8.1","0.1","8.4","0.4","84.1","2.77","0.34","1.55","1.89","4.66","0.08","0.37093","3.23692","0.6","18391","11.785102","4.428061","50.275421","1.718297","2.840317","1.114493","0.574189","2.983094","94.868013","8.460194","85.027458","0.672132","19.977597","8.742605","4.267064","97.143581","67.839331","85.423418","1.283023","14.611348","7.476155","0.990560","0.557192","2020-07-01"
"IA","6.1","4.5","4.8","5.0","4.5","4.1","53.0","2.34","0.59","0.75","1.34","3.68","0.04","0.31089","2.96189","0.3","6450","15.781130","4.564297","45.133673","2.759319","3.274507","4.272301","0.221169","3.684134","95.489052","14.787533","87.248125","1.744276","18.736856","18.359244","5.187305","96.798104","77.479700","80.625312","1.674146","19.427747","11.191332","1.532336","1.119818","2020-07-01"
"ID","9.5","2.5","10.0","2.4","9.5","2.7","51.0","2.71","0.84","0.89","1.73","4.44","0.11","0.36439","3.20266","0.6","15447","13.844448","4.823491","47.451149","2.153215","2.425037","5.096690","0.337500","2.888786","97.780932","17.699435","89.225175","1.423036","17.398791","18.022629","4.853354","96.375003","69.208524","84.222456","0.723722","15.095521","11.401315","1.120312","1.047552","2020-07-01"
"IL","9.5","5.1","11.0","5.2","9.8","5.8","91.5","2.02","0.62","0.80","1.42","3.44","0.07","0.37668","3.29119","0.4","9912","13.742616","6.177138","46.151784","2.042777","2.954206","21.791720","0.188593","3.242655","89.225037","18.343777","74.653613","2.051893","15.795395","19.481200","7.558695","93.669009","63.003886","74.100562","1.546371","22.083259","10.105970","1.825584","1.016681","2020-07-01"
"IN","9.2","5.5","9.1","5.7","8.1","5.6","72.6","2.12","0.87","0.66","1.54","3.65","0.06","0.40765","3.38697","0.4","13339","15.644245","5.951349","54.254955","1.236568","2.101221","9.302680","0.138802","3.864181","91.591324","13.955273","80.038225","1.788798","15.135862","20.444828","6.845733","94.811011","65.980514","79.269611","1.722321","20.112926","10.327867","1.613016","0.969449","2020-07-01"
"KS","7.4","1.7","7.5","1.9","9.8","1.5","51.1","2.58","0.69","0.71","1.41","3.99","0.04","0.33032","3.00411","0.6","13059","15.816320","5.327647","42.381270","2.204342","3.767720","5.433828","0.086620","4.785905","91.379536","15.846296","77.991578","2.250936","18.050070","21.341689","6.216245","95.803857","72.209442","78.091822","1.661236","21.051025","10.748691","1.937657","1.204057","2020-07-01"
"KY","5.2","1.7","5.7","0.9","5.2","0.9","79.9","2.30","0.91","0.75","1.66","3.96","0.07","0.40638","3.35169","0.6","32821","16.109850","6.896832","48.263620","1.640121","3.033763","2.742908","0.713870","3.996401","93.896436","17.128273","84.856638","2.343113","20.102545","27.726785","8.539004","95.828359","65.201591","84.950744","1.979379","21.173453","12.405866","1.895858","1.386460","2020-07-01"
"LA","4.4","0.7","4.9","0.8","3.9","0.8","94.0","2.28","1.13","0.30","1.43","3.71","0.06","0.36276","3.12571","0.3","7423","15.812609","5.608146","42.196396","1.696915","2.617133","1.038115","0.388295","3.455802","94.890342","15.414111","85.201523","2.646385","14.954503","23.505105","9.149371","94.745441","60.756836","80.628576","1.976232","23.611191","11.660605","2.422316","1.480670","2020-07-01"
"MA","8.8","1.2","8.5","1.2","5.8","0.7","99.3","2.13","0.89","0.70","1.59","3.71","0.08","0.32499","3.12314","0.7","18582","14.818547","4.736049","57.218603","1.458394","2.461210","1.731897","0.344914","3.347668","89.829442","17.915935","79.035337","1.691170","16.962185","18.770273","5.746817","95.369951","63.243536","83.139248","1.188549","22.474960","9.990649","1.449818","0.741299","2020-07-01"
"MD","15.3","3.7","13.7","3.1","12.6","3.4","105.1","2.23","0.85","0.83","1.68","3.91","0.10","0.41462","3.35445","0.3","10745","18.418741","5.856576","63.015212","1.367481","2.323638","5.963198","0.164194","2.637659","93.927175","12.515791","84.394044","1.465166","22.283144","14.881886","8.891637","96.515342","66.247618","86.485317","1.839243","19.387595","8.170198","1.230029","0.657407","2020-07-01"
"ME","4.9","2.8","4.9","5.1","4.2","4.7","62.4","3.02","0.50","1.00","1.50","4.52","0.08","0.32612","3.24224","0.1","1705","12.700283","5.685166","63.485233","2.016057","3.236634","8.134047","0.052207","4.104668","95.872967","18.014870","82.692636","1.046163","21.475800","16.506704","5.445499","97.943970","67.991035","87.208243","1.840896","16.950728","13.760644","1.268960","1.083009","2020-07-01"
"MI","13.5","4.6","12.1","3.6","12.4","2.7","85.8","2.43","0.87","0.81","1.68","4.12","0.08","0.34566","3.13607","1.0","28519","13.315183","5.597553","51.548499","1.772413","2.652734","2.488252","0.271792","3.139476","94.031254","12.500195","81.532005","1.454034","16.829618","18.076715","7.393771","94.935420","70.703279","81.630439","1.176557","21.394659","10.001848","1.585627","0.848867","2020-07-01"
"MN","8.1","2.5","7.5","2.6","6.8","2.2","64.5","2.49","0.66","1.03","1.69","4.19","0.08","0.32411","3.06361","0.3","6122","13.433757","4.676270","49.455134","2.359586","2.596796","3.964180","0.096984","4.219209","96.731131","13.995698","87.737790","1.565796","15.969654","11.643523","5.957009","96.767544","74.204143","83.250864","1.631837","20.106525","10.525042","1.508298","0.993593","2020-07-01"
